code,value_from,value_to,message,n
APPLIED_REGEX_RULE,Acer freemanii 'Elegant',Acer hybr. freemanii 'Elegant',add hybrid marker,17
APPLIED_REGEX_RULE,Acer freemanii X,Acer hybr. freemanii,add hybrid marker,1
APPLIED_REGEX_RULE,Aesculus carnea,Aesculus hybr. carnea,add hybrid marker,21
APPLIED_REGEX_RULE,Aronia prunifolia,Aronia hybr. prunifolia,add hybrid marker,1
APPLIED_REGEX_RULE,Hamamelis 'Brevipetala',Hamamelis hybr. 'Brevipetala',add hybrid marker,1
APPLIED_REGEX_RULE,Laburnum watereri,Laburnum hybr. watereri,add hybrid marker,16
APPLIED_REGEX_RULE,Laburnum watereri 'Vossii',Laburnum hybr. watereri 'Vossii',add hybrid marker,12
APPLIED_REGEX_RULE,Larix eurolepis,Larix hybr. eurolepis,add hybrid marker,14
APPLIED_REGEX_RULE,Malus floribunda,Malus hybr. floribunda,add hybrid marker,51
APPLIED_REGEX_RULE,Populus canadensis,Populus hybr. canadensis,add hybrid marker,11
APPLIED_REGEX_RULE,Populus canadensis 'Bachalierii',Populus hybr. canadensis 'Bachalierii',add hybrid marker,6
APPLIED_REGEX_RULE,Populus canadensis 'De Moffat',Populus hybr. canadensis 'De Moffat',add hybrid marker,16
APPLIED_REGEX_RULE,Populus canescens,Populus hybr. canescens,add hybrid marker,2
APPLIED_REGEX_RULE,Populus gileadensis,Populus hybr. gileadensis,add hybrid marker,1
APPLIED_REGEX_RULE,Prunus yedoensis,Prunus hybr. yedoensis,add hybrid marker,13
APPLIED_REGEX_RULE,Pterocarya rhederiana,Pterocarya hybr. rhederiana,add hybrid marker,1
APPLIED_REGEX_RULE,Tilia euchlora,Tilia hybr. euchlora,add hybrid marker,361
APPLIED_REGEX_RULE,Tilia europaea,Tilia hybr. europaea,add hybrid marker,2238
APPLIED_REGEX_RULE,Ulmus 'Columella',Ulmus hybr. 'Columella',add hybrid marker,95
APPLIED_REGEX_RULE,Ulmus 'New Horizon',Ulmus hybr. 'New Horizon',add hybrid marker,261
APPLIED_REGEX_RULE,Ulmus 'Rebona',Ulmus hybr. 'Rebona',add hybrid marker,143
APPLIED_REGEX_RULE,Ulmus 'Regal',Ulmus hybr. 'Regal',add hybrid marker,1
APPLIED_REGEX_RULE,Ulmus 'Sapporo Autumn Gold',Ulmus hybr. 'Sapporo Autumn Gold',add hybrid marker,1
APPLIED_REGEX_RULE,Ulmus 'Vada',Ulmus hybr. 'Vada',add hybrid marker,6
APPLIED_REGEX_RULE,Ulmus Fiorente,Ulmus hybr. 'Fiorente',add hybrid marker,22
APPLIED_REGEX_RULE,Acer pseudoplatanoides 'Spaethii',Acer pseudoplatanus 'Spaethii',could also be platanoides,5
APPLIED_REGEX_RULE,Malus sieboldii  'Browers beauty',Malus sieboldii 'Brouwers beauty',cultivar spelling fix,3
APPLIED_REGEX_RULE,Malus hybr. 'Robusta',Malus hybr. robusta,cultivar to species,1
APPLIED_REGEX_RULE,Prunus domestica 'Incititia',Prunus domestica ssp. insisitia,cultivar to subspecies,18
APPLIED_REGEX_RULE,Malus hybr. 'Akso',Malus baccata 'Akso',fix species name,22
APPLIED_REGEX_RULE,Malus hybr. 'James Greive',Malus domestica 'James Grieve',fix species name,7
APPLIED_REGEX_RULE,Malus hybr. 'Street Parade',Malus baccata 'Street Parade',fix species name,70
APPLIED_REGEX_RULE,Amelanchier 'Autumn Brilliance',Amelanchier hybr. grandiflora 'Autumn Brilliance',insert species for cultivars,1
APPLIED_REGEX_RULE,Malus 'Alice Balsgaard',Malus domestica 'Alice Balsgaard',insert species for cultivars,2
APPLIED_REGEX_RULE,Malus 'Angold',Malus domestica 'Angold',insert species for cultivars,2
APPLIED_REGEX_RULE,Malus 'Bramley's Seedling',Malus domestica 'Bramley's Seedling',insert species for cultivars,3
APPLIED_REGEX_RULE,Malus 'Cox Orange',Malus domestica 'Cox Orange',insert species for cultivars,5
APPLIED_REGEX_RULE,Malus 'Cox Queen',Malus domestica 'Cox Queen',insert species for cultivars,3
APPLIED_REGEX_RULE,Malus 'Golden Hornet',Malus hybr. 'Golden Hornet',insert species for cultivars,6
APPLIED_REGEX_RULE,Malus 'Holsteiner Cox',Malus domestica 'Holsteiner Cox',insert species for cultivars,7
APPLIED_REGEX_RULE,Malus 'Neville Copeman',Malus hybr. 'Neville Copeman',insert species for cultivars,5
APPLIED_REGEX_RULE,Malus 'Rød ananas',Malus domestica 'Rød ananas',insert species for cultivars,14
APPLIED_REGEX_RULE,Malus 'Säftaholm',Malus domestica 'Säftaholm',insert species for cultivars,1
APPLIED_REGEX_RULE,Malus 'Topaz',Malus domestica 'Topaz',insert species for cultivars,3
